year,month,week,nuts,totalmort,mean_maxt,mean_mint,mean_avgt,precipitation,snow
2018,10,44,NL328,52,16.15172004699707,9.162211418151855,12.658933639526367,1.5157392024993896,0
2018,10,44,NL329,197,16.448169708251953,8.748430252075195,12.605910301208496,1.3630954027175903,0
2018,10,44,NL332,117,16.67159080505371,8.492019653320312,12.569785118103027,1.732854962348938,0
2018,10,44,NL333,31,16.769901275634766,9.127318382263184,12.932705879211426,1.6852118968963623,0
2018,10,44,NL337,70,16.502342224121094,8.467268943786621,12.475985527038574,1.8260747194290161,0
2018,10,44,NL33A,62,17.1639347076416,7.973539352416992,12.585200309753418,1.5514436960220337,0
2018,10,44,NL33B,43,16.81538963317871,8.555854797363281,12.69316291809082,1.2943803071975708,0
2018,10,44,NL33C,221,16.887882232666016,8.851054191589355,12.866122245788574,1.661575198173523,0
2018,10,44,NL341,30,17.095165252685547,9.521910667419434,13.30600643157959,1.7974059581756592,0
2018,10,44,NL342,49,16.940778732299805,9.92302417755127,13.43105697631836,1.487168788909912,0
2018,10,44,NL411,107,17.371562957763672,8.147527694702148,12.75210952758789,1.6342121362686157,0
2018,10,44,NL412,86,17.529254913330078,7.691651821136475,12.60661506652832,1.2336816787719727,0
2018,10,44,NL413,109,17.613849639892578,7.626174449920654,12.625545501708984,1.1011775732040405,0
2018,10,44,NL414,120,17.689102172851562,7.3745317459106445,12.534605979919434,1.0529361963272095,0
2018,10,44,NL421,50,17.61190414428711,7.401371479034424,12.517107963562012,0.7726221084594727,0
2018,10,44,NL422,53,17.68143081665039,6.969694137573242,12.34878921508789,0.8823872804641724,0
2018,10,44,NL423,119,17.168363571166992,8.215715408325195,12.69498348236084,1.1617313623428345,0
2018,11,45,NL112,13,8.938626289367676,3.87300968170166,6.409422874450684,0.9017280340194702,0
2018,11,45,NL124,59,8.900450706481934,4.408854007720947,6.667835235595703,0.9094810485839844,0
2018,11,45,NL125,21,8.891040802001953,4.1354169845581055,6.508752822875977,0.8925634026527405,0
2018,11,45,NL126,34,9.091179847717285,3.9999446868896484,6.549564838409424,0.8751167058944702,0
2018,11,45,NL131,36,9.013283729553223,3.5679666996002197,6.304730415344238,0.8212822079658508,0
2018,11,45,NL132,36,9.11438274383545,3.4816927909851074,6.2947187423706055,0.8030956983566284,0
2018,11,45,NL133,23,9.143125534057617,3.570744276046753,6.369704723358154,0.8653119206428528,0
2018,11,45,NL211,49,9.266109466552734,3.64831805229187,6.4602885246276855,0.8367077708244324,0
2018,11,45,NL212,25,9.448012351989746,3.3141024112701416,6.389198303222656,0.6337319612503052,0
2018,11,45,NL213,89,9.515172004699707,3.458789587020874,6.491461753845215,0.7671485543251038,0
2018,11,45,NL221,104,9.611741065979004,3.870102643966675,6.743087291717529,0.8365129232406616,0
2018,11,45,NL224,38,9.873220443725586,3.942929267883301,6.9252448081970215,0.9997541308403015,0
2018,11,45,NL225,68,9.729270935058594,3.612795352935791,6.671070098876953,0.8297837376594543,0
2018,11,45,NL226,135,9.835430145263672,4.012022018432617,6.932638645172119,1.0395424365997314,0
2018,11,45,NL230,55,9.443826675415039,3.936112403869629,6.692442417144775,0.7323298454284668,0
2018,11,45,NL310,185,9.766582489013672,4.275513172149658,7.037862777709961,1.0753512382507324,0
